code,capital,latitude,longitude
VA,Vatican City,41.9034912,12.4528349
VE,Caracas,10.506098,-66.9146017
VN,Hanoi,21.0292095,105.85247
VU,Port Vila,-17.7414972,168.3150163
YE,Sana'a,15.342101,44.2005197
ZM,Lusaka,-15.416697,28.281381
ZW,Harare,-17.831773,31.045686
DZ,Algiers,36.775348,3.060065
BA,Sarajevo,43.8519774,18.3866868
KH,Phnom Penh,11.568271,104.9224426
CF,Bangui,4.3907153,18.5509126
TD,N'Djamena,12.1191543,15.0502758
KM,Moroni,-11.6931255,43.2543044
HR,Zagreb,45.813177,15.977048
TL,Dili,28.6517178,77.2219388
SV,San Salvador,13.6989939,-89.1914249
GQ,Malabo,3.752828,8.780061
GD,St. George's,32.3342432,-64.697
KZ,Astana,51.15092055,71.43885952
LA,Vientiane,17.9640988,102.6133707
FM,Palikir,6.920744,158.1627143
MC,Monaco,43.63071345,7.476161016
ME,Podgorica,42.4415238,19.2621081
MA,Rabat,33.96689355,-6.842662759
KN,Basseterre,17.2960919,-62.722301
LC,Castries,14.0095966,-60.9902359
VC,Kingstown,13.1561864,-61.2279621
WS,Apia,-13.8343691,-171.7692793
RS,Belgrade,44.8178131,20.4568974
ZA,Pretoria,-25.7459374,28.1879444
ES,Madrid,40.4167047,-3.7035825
LK,Sri Jayewardenepura Kotte,6.8536201,79.9059902
SZ,Mbabane,-26.325745,31.144663
CH,Bern,46.9482713,7.4514512
AE,Abu Dhabi,23.99764435,53.64390976
GB,London,51.5073219,-0.1276474
